Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Modelo_Monetizacao
1602,Tales of Xillia,PS3,2011,Role-Playing,Namco Bandai Games,0.29,0.19,0.67,0.09,1.24,Híbrido
1604,[Prototype],PS3,2009,Action,Activision,0.65,0.41,0.0,0.19,1.24,Híbrido
1606,Oddworld: Abe's Oddysee,PS,1997,Platform,GT Interactive,0.75,0.44,0.0,0.06,1.24,Híbrido
1607,The Witcher 3: Wild Hunt,XOne,2015,Role-Playing,Namco Bandai Games,0.66,0.47,0.0,0.11,1.24,Híbrido
1608,Ridge Racer V,PS2,2000,Action,Namco Bandai Games,0.24,0.19,0.75,0.06,1.24,Híbrido
1609,WWE SmackDown vs. Raw 2009,PS2,2008,Fighting,THQ,0.69,0.0,0.0,0.55,1.24,Híbrido
1611,Star Wars Episode III: Revenge of the Sith,XB,2005,Action,Activision,0.82,0.38,0.0,0.04,1.24,Híbrido
1612,Ben 10: Protector of Earth,Wii,2007,Action,D3Publisher,0.55,0.55,0.0,0.13,1.23,Híbrido
1613,Frogger: The Great Quest,PS2,2001,Platform,Konami Digital Entertainment,0.6,0.47,0.0,0.16,1.23,Híbrido
1614,2010 FIFA World Cup South Africa,PS3,2010,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23,Híbrido
1615,Ninja Gaiden,XB,2004,Action,Microsoft Game Studios,0.92,0.2,0.07,0.04,1.23,Pay-to-Play
1616,Crash Bandicoot: The Wrath of Cortex,XB,2002,Platform,Universal Interactive,0.59,0.57,0.0,0.07,1.23,Híbrido
1617,Driv3r,PS2,2004,Racing,Atari,0.6,0.47,0.0,0.16,1.23,Híbrido
1618,Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,PS,2003,Misc,Sony Computer Entertainment,0.69,0.47,0.0,0.08,1.23,Pay-to-Play
1619,Farming Simulator 2015,PC,2014,Simulation,Focus Home Interactive,0.08,1.02,0.0,0.13,1.23,Híbrido
1620,Guitar Hero: Aerosmith,X360,2008,Misc,Activision,1.0,0.14,0.0,0.1,1.23,Híbrido
1621,Medal of Honor: Airborne,PS3,2007,Shooter,Electronic Arts,0.25,0.7,0.03,0.25,1.23,Híbrido
1624,Vigilante 8,PS,1998,Racing,Activision,0.68,0.47,0.0,0.08,1.23,Híbrido
1627,Bayonetta,PS3,2009,Action,Sega,0.44,0.41,0.21,0.17,1.23,Híbrido
1630,Madden NFL 17,PS4,2016,Sports,Electronic Arts,0.92,0.08,0.0,0.23,1.23,Híbrido
1631,Boom Blox,Wii,2008,Puzzle,Electronic Arts,0.72,0.38,0.0,0.12,1.23,Híbrido
1632,Fallout 4,PC,2015,Role-Playing,Bethesda Softworks,0.5,0.63,0.0,0.1,1.23,Híbrido
1633,The Sims 2: Castaway,Wii,2007,Simulation,Electronic Arts,0.45,0.64,0.0,0.14,1.23,Híbrido
1634,LEGO Batman 2: DC Super Heroes,PS3,2012,Action,Warner Bros. Interactive Entertainment,0.5,0.53,0.0,0.2,1.22,Híbrido
1635,Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010,Fighting,Namco Bandai Games,0.42,0.47,0.15,0.18,1.22,Híbrido
1637,Intelligent Qube,PS,1997,Puzzle,Sony Computer Entertainment,0.13,0.07,1.0,0.02,1.22,Pay-to-Play
1641,Parfait: Chocolat Second Style,PS2,2006,Adventure,Alchemist,0.59,0.46,0.01,0.15,1.22,Híbrido
1642,F1 2011,PS3,2011,Racing,Codemasters,0.12,0.75,0.11,0.25,1.22,Híbrido
1644,NBA Live 99,PS,1997,Sports,Electronic Arts,1.13,0.05,0.0,0.03,1.22,Híbrido
1645,Chocobo no Fushigi Dungeon,PS,1997,Role-Playing,SquareSoft,0.0,0.0,1.14,0.08,1.22,Híbrido
1647,SimCity 2000,PS,1996,Simulation,Maxis,0.68,0.46,0.0,0.08,1.22,Híbrido
1648,Max Payne,XB,2001,Shooter,Take-Two Interactive,0.98,0.19,0.0,0.05,1.22,Híbrido
1649,WCW Mayhem,PS,1998,Fighting,Electronic Arts,0.68,0.46,0.0,0.08,1.22,Híbrido
1650,NBA 2K2,PS2,2002,Sports,Sega,0.59,0.46,0.01,0.15,1.22,Híbrido
1653,Cars,PS2,2006,Racing,THQ,1.01,0.04,0.0,0.16,1.21,Híbrido
1654,Fuzion Frenzy,XB,2001,Misc,Microsoft Game Studios,0.93,0.24,0.0,0.04,1.21,Pay-to-Play
1655,Call of Duty: Finest Hour,XB,2004,Shooter,Activision,0.78,0.4,0.0,0.04,1.21,Híbrido
1657,Sly Cooper and the Thievius Raccoonus,PS2,2002,Platform,Sony Computer Entertainment,1.03,0.14,0.0,0.04,1.21,Pay-to-Play
1660,Dragon Quest IV: Michibikareshi Monotachi,PS,2001,Role-Playing,Enix Corporation,0.0,0.0,1.2,0.01,1.21,Híbrido
1661,Star Wars Episode 1: Jedi Power Battles,PS,1999,Action,LucasArts,0.66,0.48,0.01,0.06,1.21,Híbrido
1662,Dino Crisis 2,PS,2000,Action,Virgin Interactive,0.34,0.49,0.28,0.1,1.21,Híbrido
1665,Test Drive 4,PS,1997,Racing,Electronic Arts,0.67,0.46,0.0,0.08,1.21,Híbrido
1668,The Lord of the Rings: The Fellowship of the Ring,PS2,2002,Action,Black Label Games,0.59,0.46,0.0,0.15,1.2,Híbrido
1669,LEGO Star Wars III: The Clone Wars,PS3,2011,Action,LucasArts,0.52,0.49,0.0,0.2,1.2,Híbrido
1670,ATV Offroad Fury 3,PS2,2004,Racing,SouthPeak Games,1.0,0.04,0.0,0.16,1.2,Free-to-Play
1672,Just Dance 2016,Wii,2015,Misc,Ubisoft,0.52,0.59,0.0,0.1,1.2,Híbrido
1673,Disney Sing It,Wii,2008,Misc,Disney Interactive Studios,0.77,0.31,0.0,0.12,1.2,Híbrido
1674,Battlefield: Hardline,XOne,2015,Shooter,Electronic Arts,0.72,0.37,0.01,0.11,1.2,Híbrido
1675,WWE 2K16,PS4,2015,Sports,Take-Two Interactive,0.41,0.6,0.0,0.19,1.2,Híbrido
1681,Enter the Matrix,XB,2003,Action,Atari,0.72,0.43,0.01,0.04,1.2,Híbrido
1682,NHL 2002,PS2,2001,Sports,Electronic Arts,0.59,0.46,0.0,0.15,1.2,Híbrido
1684,PokéPark Wii: Pikachu's Adventure,Wii,2009,Adventure,Nintendo,0.55,0.17,0.42,0.06,1.2,Pay-to-Play
1685,One Piece: Pirate Warriors,PS3,2012,Action,Namco Bandai Games,0.01,0.24,0.86,0.09,1.2,Híbrido
1686,WWE 2K14,PS3,2013,Sports,Take-Two Interactive,0.49,0.49,0.0,0.21,1.19,Híbrido
1688,Nuclear Strike,PS,1997,Simulation,Electronic Arts,0.66,0.45,0.0,0.08,1.19,Híbrido
1692,Pro Evolution Soccer 2008,Wii,2008,Sports,Konami Digital Entertainment,0.09,0.84,0.11,0.15,1.19,Híbrido
1695,Scarface: The World is Yours,PS2,2006,Action,Vivendi Games,0.99,0.04,0.0,0.16,1.19,Híbrido
1698,The Dukes of Hazzard: Racing for Home,PS,1999,Racing,Ubisoft,0.99,0.16,0.0,0.04,1.19,Híbrido
1700,FIFA 14,XOne,2013,Sports,Electronic Arts,0.41,0.66,0.0,0.12,1.19,Híbrido
1703,NBA 2K17,PS4,2016,Sports,Take-Two Interactive,0.83,0.14,0.0,0.22,1.19,Híbrido
1705,Just Dance 4,X360,2012,Misc,Ubisoft,0.9,0.2,0.0,0.08,1.19,Híbrido
1706,Metal Gear Solid VR Missions,PS,1999,Adventure,Konami Digital Entertainment,0.66,0.45,0.0,0.08,1.18,Híbrido
1708,Resident Evil: Operation Raccoon City,PS3,2012,Action,Capcom,0.48,0.25,0.36,0.1,1.18,Híbrido
1714,WWE '12,PS3,2011,Fighting,THQ,0.53,0.46,0.02,0.17,1.18,Híbrido
1715,WWE SmackDown vs. Raw 2010,PS3,2009,Fighting,THQ,0.48,0.49,0.01,0.2,1.18,Híbrido
1717,Sonic the Hedgehog,PS3,2006,Platform,Sega,0.41,0.07,0.04,0.66,1.18,Híbrido
1719,Spore,PC,2008,Strategy,Electronic Arts,0.03,1.06,0.0,0.09,1.17,Híbrido
1720,Soviet Strike,PS,1996,Simulation,Electronic Arts,0.65,0.44,0.0,0.08,1.17,Híbrido
1721,Your Shape: Fitness Evolved 2012,X360,2011,Sports,Ubisoft,0.7,0.37,0.0,0.1,1.17,Híbrido
1722,Army of Two,PS3,2008,Shooter,Electronic Arts,0.74,0.26,0.02,0.15,1.17,Híbrido
1723,Gun,PS2,2005,Shooter,Activision,0.98,0.04,0.0,0.16,1.17,Híbrido
1724,Ty the Tasmanian Tiger,PS2,2002,Platform,Electronic Arts,0.57,0.45,0.0,0.15,1.17,Híbrido
1725,Wario Land: Shake It!,Wii,2008,Platform,Nintendo,0.6,0.31,0.15,0.11,1.17,Pay-to-Play
1727,Medal of Honor: Warfighter,X360,2012,Action,Electronic Arts,0.58,0.47,0.01,0.1,1.17,Híbrido
1729,Ratchet & Clank (2016),PS4,2016,Platform,Sony Computer Entertainment,0.32,0.64,0.04,0.18,1.17,Pay-to-Play
1732,Cabela's Dangerous Hunts,PS2,2003,Sports,Zoo Digital Publishing,0.57,0.45,0.0,0.15,1.17,Híbrido
1733,Cool Boarders 4,PS,1998,Sports,989 Studios,0.65,0.44,0.0,0.08,1.17,Híbrido
1734,Rage Racer,PS,1996,Racing,Sony Computer Entertainment,0.16,0.11,0.83,0.08,1.17,Pay-to-Play
1735,Medal of Honor: Rising Sun,XB,2003,Shooter,Electronic Arts,0.76,0.36,0.0,0.05,1.17,Híbrido
1736,Football Manager 2013,PC,2012,Sports,Sega,0.0,0.95,0.0,0.22,1.17,Híbrido
1737,Destruction Derby 2,PS,1996,Racing,Psygnosis,0.65,0.44,0.0,0.08,1.17,Híbrido
1738,Mirror's Edge,X360,2008,Platform,Electronic Arts,0.51,0.51,0.01,0.13,1.17,Híbrido
1739,Destiny: The Taken King,XOne,2015,Shooter,Activision,0.82,0.23,0.0,0.11,1.17,Híbrido
1741,007: Quantum of Solace,PS3,2008,Action,Activision,0.43,0.52,0.02,0.2,1.16,Híbrido
1742,EA Sports Active: More Workouts,Wii,2009,Sports,Electronic Arts,0.78,0.28,0.0,0.1,1.16,Híbrido
1743,Fallout: New Vegas,PC,2010,Role-Playing,Bethesda Softworks,0.58,0.45,0.0,0.14,1.16,Híbrido
1746,Midnight Club 3: DUB Edition Remix,PS2,2006,Racing,Take-Two Interactive,0.97,0.04,0.0,0.16,1.16,Híbrido
1747,Tom Clancy's Ghost Recon: Jungle Storm,PS2,2004,Shooter,Ubisoft,0.57,0.44,0.0,0.15,1.16,Híbrido
1748,SingStar,PS3,2007,Misc,Sony Computer Entertainment,0.45,0.58,0.0,0.13,1.16,Pay-to-Play
1749,Bushido Blade,PS,1997,Fighting,Sony Computer Entertainment,0.39,0.27,0.43,0.08,1.16,Pay-to-Play
1751,NASCAR Thunder 2002,PS2,2001,Racing,Electronic Arts,0.57,0.44,0.0,0.15,1.16,Híbrido
1756,Test Drive: Off Road,PS,1997,Racing,Eidos Interactive,0.65,0.44,0.0,0.08,1.16,Híbrido
1758,Sniper: Ghost Warrior,X360,2010,Shooter,City Interactive,0.54,0.51,0.0,0.12,1.16,Híbrido
1759,Rocksmith,PS3,2011,Misc,Ubisoft,0.52,0.38,0.09,0.17,1.16,Híbrido
1760,LEGO Star Wars: The Video Game,XB,2005,Action,Eidos Interactive,0.83,0.28,0.0,0.05,1.16,Híbrido
1762,Plants vs. Zombies: Garden Warfare,X360,2014,Shooter,Electronic Arts,0.51,0.54,0.0,0.1,1.16,Híbrido
1763,Worldwide Soccer Manager 2009,PC,2008,Simulation,Sega,0.0,1.14,0.0,0.01,1.15,Híbrido
1764,Omerta: City of Gangsters,PS3,2011,Simulation,Konami Digital Entertainment,0.52,0.46,0.0,0.17,1.15,Híbrido
1765,Gauntlet: Dark Legacy,PS2,2001,Action,Midway Games,0.56,0.44,0.0,0.15,1.15,Híbrido
1766,Ninja Gaiden Sigma,PS3,2007,Action,Eidos Interactive,0.57,0.33,0.09,0.16,1.15,Híbrido
1767,Bad Boys: Miami Takedown,PS2,2004,Shooter,Empire Interactive,0.56,0.44,0.0,0.15,1.15,Híbrido
1769,Red Dead Redemption: Undead Nightmare,PS3,2010,Action,Take-Two Interactive,0.44,0.46,0.06,0.18,1.15,Híbrido
1770,Sonic and the Black Knight,Wii,2009,Platform,Sega,0.69,0.35,0.01,0.11,1.15,Híbrido
1771,Call of Duty 4: Modern Warfare,PC,2007,Shooter,Activision,0.0,1.12,0.0,0.03,1.15,Híbrido
1776,Ratchet & Clank: All 4 One,PS3,2011,Platform,Sony Computer Entertainment,0.75,0.22,0.05,0.12,1.15,Pay-to-Play
1778,Fight Night Champion,PS3,2011,Fighting,Electronic Arts,0.45,0.51,0.0,0.19,1.15,Híbrido
1780,Tak and the Power of Juju,PS2,2003,Platform,THQ,0.56,0.44,0.0,0.15,1.15,Híbrido
1781,Asteroids,PS,1998,Shooter,Success,0.64,0.43,0.0,0.07,1.15,Híbrido
1782,Puyo Puyo Sun Ketteiban,PS,1997,Puzzle,Compile,0.0,0.0,1.07,0.07,1.15,Híbrido
1784,Action Bass,PS,2000,Action,Take-Two Interactive,0.64,0.43,0.0,0.07,1.14,Híbrido
1785,Tenchu: Wrath of Heaven,PS2,2003,Action,Activision,0.44,0.34,0.25,0.11,1.14,Híbrido
1786,Shadow of the Colossus,PS2,2005,Action,Sony Computer Entertainment,0.78,0.03,0.2,0.13,1.14,Pay-to-Play
1787,Brave Fencer Musashi,PS,1998,Role-Playing,SquareSoft,0.25,0.17,0.65,0.07,1.14,Híbrido
1788,Hot Shots Golf: Out of Bounds,PS3,2007,Sports,Sony Computer Entertainment,0.31,0.03,0.76,0.04,1.14,Pay-to-Play
1789,Dance Dance Revolution Extreme 2,PS2,2005,Simulation,Konami Digital Entertainment,0.95,0.04,0.0,0.16,1.14,Híbrido
1790,Mirror's Edge,PS3,2008,Platform,Electronic Arts,0.31,0.59,0.02,0.22,1.14,Híbrido
1791,Rabbids Go Home,Wii,2009,Platform,Ubisoft,0.26,0.75,0.0,0.14,1.14,Híbrido
1797,The Lord of the Rings: The Return of the King,XB,2003,Action,Electronic Arts,0.71,0.38,0.0,0.05,1.14,Híbrido
1799,Royal Palace of White Sword and The City of Gentiles,PS2,2005,Role-Playing,Take-Two Interactive,0.0,0.51,0.0,0.62,1.14,Híbrido
1800,Guitar Hero 5,X360,2009,Misc,Activision,0.65,0.37,0.0,0.11,1.14,Híbrido
1801,Mobile Suit Gundam: Federation vs. Zeon,PS2,2001,Simulation,Atari,0.12,0.1,0.88,0.03,1.14,Híbrido
1803,MechAssault,XB,2002,Simulation,Microsoft Game Studios,1.01,0.1,0.0,0.03,1.13,Pay-to-Play
1804,ModNation Racers,PS3,2010,Racing,Sony Computer Entertainment,0.5,0.41,0.06,0.16,1.13,Pay-to-Play
1806,Derby Stallion 99,PS,1999,Sports,ASCII Entertainment,0.0,0.0,1.06,0.07,1.13,Híbrido
1809,Tom Clancy's Rainbow Six 3: Black Arrow,XB,2004,Shooter,Ubisoft,0.99,0.12,0.0,0.02,1.13,Híbrido
1810,WWE 2K15,PS4,2014,Sports,Take-Two Interactive,0.38,0.56,0.0,0.19,1.13,Híbrido
1812,Jampack Winter '98,PS,1998,Misc,Sony Computer Entertainment,0.63,0.43,0.0,0.07,1.13,Pay-to-Play
1813,WWE 2K14,X360,2013,Sports,Take-Two Interactive,0.64,0.39,0.0,0.1,1.13,Híbrido
1814,Alien: Isolation,PS4,2014,Shooter,Sega,0.34,0.56,0.04,0.19,1.13,Híbrido
1815,Yakuza 3,PS3,2009,Action,Sega,0.21,0.21,0.62,0.08,1.13,Híbrido
1817,The Beatles: Rock Band,PS3,2009,Misc,MTV Games,0.67,0.3,0.0,0.15,1.13,Híbrido
1818,Dragon Age II,X360,2011,Action,Electronic Arts,0.72,0.3,0.01,0.09,1.12,Híbrido
1820,Supercar Street Challenge,PS2,2001,Racing,Activision,0.55,0.43,0.0,0.14,1.12,Híbrido
1822,Crackdown 2,X360,2010,Shooter,Microsoft Game Studios,0.63,0.37,0.02,0.1,1.12,Pay-to-Play
1823,Final Fantasy XIV: A Realm Reborn,PS3,2013,Role-Playing,Square Enix,0.36,0.33,0.28,0.15,1.12,Híbrido
1824,Castlevania: Lords of Shadow,PS3,2010,Action,Konami Digital Entertainment,0.5,0.37,0.1,0.16,1.12,Híbrido
1825,Rocksmith,X360,2011,Misc,Ubisoft,0.84,0.2,0.01,0.08,1.12,Híbrido
1826,Disney Infinity 2.0: Marvel Super Heroes,X360,2014,Action,Disney Interactive Studios,0.62,0.4,0.0,0.1,1.12,Híbrido
1828,Call Of Duty 2: Big Red One,XB,2005,Shooter,Activision,0.66,0.4,0.0,0.05,1.12,Híbrido
1830,Guitar Hero 5,PS2,2009,Misc,Activision,0.28,0.3,0.0,0.54,1.12,Híbrido
1831,Worldwide Soccer Manager 2008,PC,2007,Sports,Russel,0.0,1.12,0.0,0.0,1.12,Híbrido
1832,Spider-Man 2,XB,2004,Action,Activision,0.82,0.26,0.0,0.04,1.12,Híbrido
1833,Counter-Strike,XB,2003,Shooter,Microsoft Game Studios,0.85,0.23,0.0,0.04,1.11,Pay-to-Play
1834,Mad Max (2015),PS4,2015,Action,Warner Bros. Interactive Entertainment,0.32,0.58,0.04,0.17,1.11,Híbrido
1835,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS2,2007,Action,Activision,0.63,0.37,0.0,0.11,1.11,Híbrido
1836,GRID,PS3,2008,Racing,Codemasters,0.31,0.57,0.03,0.2,1.11,Híbrido
1837,Guitar Hero Encore: Rocks The 80s,PS2,2007,Misc,RedOctane,0.92,0.04,0.0,0.15,1.11,Híbrido
1838,Sunset Overdrive,XOne,2014,Shooter,Microsoft Game Studios,0.62,0.4,0.0,0.08,1.11,Pay-to-Play
1840,Tom Clancy's Splinter Cell: Chaos Theory,XB,2005,Action,Ubisoft,0.68,0.38,0.0,0.05,1.11,Híbrido
1842,Arc the Lad,PS,1995,Role-Playing,Sony Computer Entertainment,0.0,0.0,1.1,0.01,1.11,Pay-to-Play
1844,Need for Speed: ProStreet,Wii,2007,Racing,Electronic Arts,0.54,0.46,0.0,0.12,1.11,Híbrido
1846,Legend of Mana,PS,1999,Role-Playing,SquareSoft,0.18,0.13,0.73,0.07,1.11,Híbrido
1848,Toy Story 3: The Video Game,PS3,2010,Action,Disney Interactive Studios,0.51,0.42,0.0,0.17,1.11,Híbrido
1849,Guitar Hero 5,PS3,2009,Misc,Activision,0.53,0.4,0.0,0.17,1.1,Híbrido
1851,Medal of Honor: Airborne,X360,2007,Shooter,Electronic Arts,0.45,0.53,0.01,0.12,1.1,Híbrido
1854,Triple Play 98,PS,1997,Sports,Electronic Arts,0.61,0.42,0.0,0.07,1.1,Híbrido
1855,LEGO The Lord of the Rings,PS3,2012,Action,Warner Bros. Interactive Entertainment,0.36,0.53,0.0,0.21,1.1,Híbrido
1857,WWE SmackDown vs. Raw 2011,PS3,2010,Fighting,THQ,0.44,0.46,0.01,0.18,1.1,Híbrido
1864,NERF N-Strike,Wii,2008,Shooter,Electronic Arts,0.92,0.09,0.0,0.09,1.1,Híbrido
1865,NBA Live 2001,PS2,2001,Sports,Electronic Arts,0.52,0.4,0.04,0.13,1.1,Híbrido
1866,SingStar Legends,PS2,2006,Misc,Sony Computer Entertainment,0.12,0.75,0.0,0.23,1.1,Pay-to-Play
1867,SingStar Rocks!,PS2,2006,Misc,Sony Computer Entertainment,0.0,0.84,0.0,0.25,1.1,Pay-to-Play
1870,Star Ocean: The Second Story,PS,1998,Role-Playing,Sony Computer Entertainment,0.26,0.1,0.72,0.02,1.1,Pay-to-Play
1871,Lightning Returns: Final Fantasy XIII,PS3,2013,Role-Playing,Square Enix,0.31,0.22,0.45,0.12,1.1,Híbrido
1875,Yakuza 2,PS2,2006,Adventure,Sega,0.05,0.04,0.84,0.16,1.09,Híbrido
1876,Skate 2,X360,2009,Sports,Electronic Arts,0.82,0.17,0.01,0.09,1.09,Híbrido
1878,Virtua Fighter 5,PS3,2007,Fighting,Sega,0.29,0.52,0.08,0.2,1.09,Híbrido
1880,BeatMania,PS,1998,Simulation,Konami Digital Entertainment,0.0,0.0,1.07,0.02,1.09,Híbrido
1883,Madden NFL 2004,XB,2003,Sports,Electronic Arts,1.02,0.02,0.0,0.05,1.09,Híbrido
1884,Empire: Total War,PC,2009,Strategy,Sega,0.01,0.97,0.0,0.11,1.09,Híbrido
1885,The Godfather,PS2,2006,Action,Electronic Arts,0.89,0.03,0.01,0.15,1.09,Híbrido
1886,Tiger Woods PGA Tour 10,Wii,2009,Sports,Electronic Arts,0.61,0.37,0.0,0.11,1.09,Híbrido
1887,Star Wars: Bounty Hunter,PS2,2002,Shooter,LucasArts,0.53,0.42,0.0,0.14,1.09,Híbrido
1888,Densha De Go!,PS,1997,Simulation,Taito,0.0,0.0,1.02,0.07,1.09,Híbrido
1889,Dante's Inferno,PS3,2010,Action,Electronic Arts,0.64,0.28,0.04,0.13,1.09,Híbrido
1891,Skylanders Giants,PS3,2012,Action,Activision,0.35,0.52,0.0,0.22,1.09,Híbrido
1892,Endless Ocean,Wii,2007,Adventure,Nintendo,0.44,0.47,0.09,0.09,1.09,Pay-to-Play
1893,NFL Blitz 2000,PS,1998,Sports,Midway Games,0.6,0.41,0.0,0.07,1.09,Híbrido
1894,Sonic Free Riders,X360,2010,Racing,Sega,0.74,0.26,0.0,0.09,1.09,Híbrido
1895,NASCAR Thunder 2004,PS2,2003,Racing,Electronic Arts,0.53,0.41,0.0,0.14,1.08,Híbrido
1896,Prince of Persia,PS3,2008,Action,Ubisoft,0.47,0.41,0.03,0.18,1.08,Híbrido
1897,SpongeBob SquarePants: Revenge of the Flying Dutchman,PS2,2002,Platform,THQ,0.53,0.41,0.0,0.14,1.08,Híbrido
1898,Grand Theft Auto V,PC,2015,Action,Take-Two Interactive,0.36,0.64,0.0,0.08,1.08,Híbrido
1899,The Biggest Loser,Wii,2009,Sports,THQ,0.87,0.12,0.0,0.09,1.08,Híbrido
1900,Fisherman's Bass Club,PS2,2002,Sports,Agetec,0.53,0.41,0.0,0.14,1.08,Híbrido
1902,Resident Evil: The Darkside Chronicles,Wii,2009,Action,Capcom,0.48,0.32,0.2,0.09,1.08,Híbrido
1903,NCAA Football 13,X360,2012,Action,Electronic Arts,1.02,0.0,0.0,0.06,1.08,Híbrido
1905,FIFA Soccer 11,Wii,2010,Sports,Electronic Arts,0.26,0.69,0.0,0.12,1.08,Híbrido
1906,The Orange Box,PS3,2007,Shooter,Electronic Arts,0.28,0.59,0.0,0.22,1.08,Híbrido
1908,Tomb Raider: Underworld,X360,2008,Action,Eidos Interactive,0.53,0.43,0.01,0.11,1.08,Híbrido
1909,Tom Clancy's Ghost Recon 2,PS2,2004,Shooter,Ubisoft,0.64,0.34,0.0,0.1,1.08,Híbrido
1910,DiRT 3,PS3,2011,Racing,Codemasters,0.27,0.59,0.01,0.21,1.08,Híbrido
1913,Ready 2 Rumble Boxing,PS,1998,Sports,Midway Games,0.6,0.41,0.0,0.07,1.08,Híbrido
1917,Naruto: Ultimate Ninja Storm,PS3,2008,Fighting,Namco Bandai Games,0.49,0.35,0.09,0.16,1.08,Híbrido
1918,Marvel vs. Capcom 3: Fate of Two Worlds,X360,2011,Fighting,Capcom,0.79,0.18,0.03,0.07,1.08,Híbrido
1919,NCAA Football 14,X360,2013,Sports,Electronic Arts,1.01,0.0,0.0,0.06,1.07,Híbrido
1920,Doko Demo Issyo,PS,1999,Misc,Sony Computer Entertainment,0.0,0.0,1.0,0.07,1.07,Pay-to-Play
1921,Call of Duty 3,PS2,2006,Shooter,Activision,0.89,0.03,0.0,0.15,1.07,Híbrido
1923,Red Dead Redemption: Undead Nightmare,X360,2010,Action,Take-Two Interactive,0.57,0.39,0.02,0.09,1.07,Híbrido
1924,Bully: Scholarship Edition,X360,2008,Action,Take-Two Interactive,0.53,0.4,0.03,0.11,1.07,Híbrido
1926,Championship Manager 99/00,PC,1999,Sports,Eidos Interactive,0.0,0.98,0.0,0.09,1.07,Híbrido
1927,WWE SmackDown vs. Raw 2010,PS2,2009,Fighting,THQ,0.53,0.01,0.0,0.54,1.07,Híbrido
1928,Pro Evolution Soccer 2008,X360,2007,Sports,Konami Digital Entertainment,0.08,0.9,0.04,0.05,1.07,Híbrido
1930,NHL 99,PS,1997,Sports,Electronic Arts,0.59,0.4,0.0,0.07,1.07,Híbrido
1931,SoulCalibur III,PS2,2005,Fighting,Namco Bandai Games,0.74,0.15,0.13,0.05,1.07,Híbrido
1932,Skylanders SWAP Force,PS3,2013,Platform,Activision,0.43,0.44,0.0,0.2,1.07,Híbrido
1933,F1 2012,PS3,2012,Racing,Codemasters,0.12,0.64,0.05,0.25,1.07,Híbrido
1935,Disney Universe,Wii,2011,Action,Disney Interactive Studios,0.67,0.3,0.0,0.1,1.07,Híbrido
1936,Ridge Racer Revolution,PS,1995,Racing,Sony Computer Entertainment,0.17,0.12,0.71,0.07,1.07,Pay-to-Play
1937,LEGO Pirates of the Caribbean: The Video Game,X360,2011,Action,Disney Interactive Studios,0.54,0.42,0.0,0.1,1.07,Híbrido
1938,Hot Wheels Turbo Racing,PS,1999,Racing,Electronic Arts,0.59,0.4,0.0,0.07,1.07,Híbrido
1939,NCAA Football 99,PS,1998,Sports,Electronic Arts,0.59,0.4,0.0,0.07,1.06,Híbrido
1940,Mortal Kombat: Armageddon,PS2,2006,Fighting,Midway Games,0.88,0.04,0.0,0.14,1.06,Híbrido
1941,Aliens vs Predator,X360,2010,Shooter,Sega,0.55,0.4,0.0,0.11,1.06,Híbrido
1942,Freekstyle,PS2,2002,Racing,Electronic Arts,0.52,0.41,0.0,0.14,1.06,Híbrido
1944,Darksiders,X360,2010,Action,THQ,0.67,0.29,0.01,0.1,1.06,Híbrido
1945,DiRT,PS3,2007,Racing,Codemasters,0.16,0.67,0.0,0.23,1.06,Híbrido
1947,Simple 1500 Series Vol. 1: The Mahjong,PS,1998,Misc,D3Publisher,0.0,0.0,0.99,0.07,1.06,Híbrido
1948,Sega Superstars Tennis,Wii,2008,Sports,Sega,0.28,0.65,0.0,0.13,1.06,Híbrido
1949,NBA Street V3,PS2,2005,Sports,Electronic Arts,0.52,0.41,0.0,0.14,1.06,Híbrido
1950,Sleeping Dogs,PS3,2012,Action,Square Enix,0.31,0.5,0.05,0.19,1.06,Híbrido
1951,Mercenaries 2: World in Flames,X360,2008,Shooter,Electronic Arts,0.65,0.3,0.01,0.1,1.06,Híbrido
1952,Worms Armageddon,PS,1999,Strategy,Microprose,0.18,0.81,0.0,0.08,1.06,Híbrido
1953,Hulk,PS2,2003,Action,Universal Interactive,0.52,0.41,0.0,0.14,1.06,Híbrido
1954,LEGO Indiana Jones: The Original Adventures,PS3,2008,Action,Activision,0.44,0.44,0.0,0.18,1.06,Híbrido
1957,DJ Hero,X360,2009,Misc,Activision,0.56,0.4,0.0,0.11,1.06,Híbrido
1959,Diablo II: Lord of Destruction,PC,2001,Role-Playing,Vivendi Games,1.03,0.02,0.0,0.0,1.06,Híbrido
1960,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,0.39,0.41,0.1,0.16,1.06,Híbrido
1962,Virtua Tennis 3,PS3,2007,Sports,Sega,0.23,0.59,0.03,0.22,1.06,Híbrido
1963,Seek and Destroy,PS2,2002,Racing,Play It,0.52,0.4,0.0,0.14,1.06,Híbrido
1964,Warhawk,PS3,2007,Simulation,Sony Computer Entertainment,0.49,0.39,0.0,0.17,1.06,Pay-to-Play
